	Unnamed: 0	Unnamed: 0.1	Unnamed: 0.1.1	NCBI_GENE_ID	St1_trans	St2_trans	St3_trans	St4_trans	St5_trans	function	Protein IDs	St7_prot	St8_prot	St9_prot	St1_muts	St2_muts	St3_muts	St4_muts	St5_muts	St7_muts	St8_muts	St9_muts	functions
10	10	10	10	accA	1.97777777777778	2.31111111111111	3.34814814814815	2.93518518518519	2.24444444444444	Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2)	sp|P0ABD5|ACCA_ECOLI;sp|C4ZRS7|ACCA_ECOBW;sp|B1XD54|ACCA_ECODH	1.0476190476190477	3.2857142857142856	1.0952380952380951	0	0	0	0	0	0	0	0	Not annotated
11	11	11	11	accB	1.24242424242424	1.53131313131313	1.52929292929293	1.95353535353535	0.753535353535354	Biotin carboxyl carrier protein of acetyl-CoA carboxylase					0	0	0	0	0	0	0	0	Not annotated
12	12	12	12	accC	0.6165670367207521	0.8842869342442359	1.42869342442357	1.16097352690009	0.7980358667805291	Biotin carboxylase of acetyl-CoA carboxylase (EC 6.3.4.14)	sp|P24182|ACCC_ECOLI	1.074074074074074	2.888888888888889	1.148148148148148	0	0	0	0	0	0	0	0	Not annotated
13	13	13	13	accD	1.14227272727273	1.3086363636363605	2.51227272727273	1.52	1.07318181818182	Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2)	sp|P0A9Q5|ACCD_ECOLI;sp|B1X927|ACCD_ECODH	1.0416666666666667	2.625	1.125	0	0	0	0	0	0	0	0	Not annotated
14	14	14	14	aceA	2.5588235294117596	3.25	1.18382352941176	1.8602941176470602	1.8529411764705903	Isocitrate lyase (EC 4.1.3.1)	sp|P0A9G6|ACEA_ECOLI	0.6904761904761905	1.8214285714285716	0.5238095238095238	0	0	0	0	0	0	0	0	Not annotated
15	15	15	15	aceB	2.98757763975155	2.8509316770186297	1.7950310559006202	2.27329192546584	2.50310559006211	Malate synthase (EC 2.3.3.9)					0	0	0	0	0	0	0	0	Not annotated
16	16	16	16	aceE	0.38974540311174	0.36973125884017	0.72970297029703	0.48719943422913703	1.00289957567185	Pyruvate dehydrogenase E1 component (EC 1.2.4.1)					0	1	1	1	1	0	0	0	Not annotated
17	17	17	17	aceF	0.294310566091544	0.287323541993441	0.700983887066876	0.48196207044060996	1.00142592328533	Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12)					0	0	0	0	0	0	0	0	Metabolism
18	18	18	18	aceK	2.48905109489051	3.4014598540146	1.01459854014599	1.94890510948905	1.83941605839416	Isocitrate dehydrogenase phosphatase (EC 2.7.11.5)/kinase (EC 3.1.3.-)					0	0	0	0	0	0	0	0	Regulation
19	19	19	19	ackA	0.391762155466089	0.47878600185815995	0.445339114276866	0.538247135336017	0.789408485599257	Acetate kinase (EC 2.7.2.1)	sp|P0A6A3|ACKA_ECOLI	1.4210526315789471	3.4736842105263164	0.9473684210526316	0	0	0	0	0	0	0	0	Not annotated
20	20	20	20	acnA	1.03178991015895	1.1216309606081498	0.977885279889426	0.982722874913614	1.1845196959226	Aconitate hydratase (EC 4.2.1.3) @ 2-methylisocitrate dehydratase (EC 4.2.1.99)	sp|P25516|ACNA_ECOLI	0.5384615384615385	0.3461538461538462	0.2307692307692308	0	0	0	0	0	0	0	0	Not annotated
21	21	21	21	acnB	0.708472856418062	0.7098934550989351	1.17889396245561	1.09274479959411	0.984982242516489	Aconitate hydratase 2 (EC 4.2.1.3) @ 2-methylisocitrate dehydratase (EC 4.2.1.99)	sp|P36683|ACNB_ECOLI	0.7457627118644067	2.2118644067796613	0.7203389830508474	0	0	0	0	0	0	0	0	Not annotated
22	22	22	22	acpP	0.427875088262761	0.6525294399016011	1.05124934514726	0.6870145548140221	0.8769787941598521	Acyl carrier protein					0	0	0	0	0	0	0	0	Not annotated
23	23	23	23	acpS	2.0	2.84126984126984	1.3015873015873	1.96825396825397	1.28571428571429	Holo-[acyl-carrier protein] synthase (EC 2.7.8.7)					0	0	0	0	0	0	0	0	Not annotated
24	24	24	24	acpT	2.07228915662651	2.9036144578313303	2.26506024096386	2.79518072289157	1.01204819277108	4'-phosphopantetheinyl transferase (EC 2.7.8.-)					0	0	0	0	0	0	0	0	Not annotated
25	25	25	25	acrA	1.99691040164779	1.9804325437693104	2.08959835221421	1.7785787847579801	1.5633367662203899	Membrane fusion protein of RND family multidrug efflux pump	sp|P0AE06|ACRA_ECOLI	1.1071428571428572	3.321428571428571	1.0357142857142856	0	0	0	0	0	0	0	0	Not annotated
26	26	26	26	acrB	1.3806957373836397	1.3684468397844198	1.92307692307692	1.5962763351298401	1.87457128858403	RND efflux system, inner membrane transporter CmeB	sp|P31224|ACRB_ECOLI	1.0344827586206895	3.724137931034482	1.1379310344827591	1	1	1	1	1	0	0	0	Transport
27	27	27	27	acrD	2.0987654320987703	3.22222222222222	1.5604938271604898	2.17037037037037	1.93086419753086	RND efflux system, inner membrane transporter CmeB					0	0	0	0	0	0	0	0	Not annotated
28	28	28	28	acrE	2.98230088495575	3.2212389380531	0.8761061946902651	2.07964601769911	1.88495575221239	RND efflux system, membrane fusion protein CmeA					0	0	0	0	0	0	0	0	Not annotated
29	29	29	29	acrF	2.09779179810726	3.05047318611987	1.41640378548896	1.9211356466876999	1.9432176656151399	RND efflux system, inner membrane transporter CmeB					0	0	0	0	0	0	0	0	Not annotated
30	30	30	30	acrR	1.8588390501319296	1.84960422163588	1.0725593667546198	1.77044854881266	1.55936675461741	Transcription repressor of multidrug efflux pump acrAB operon, TetR (AcrR) family					0	0	0	0	0	0	0	0	Not annotated
31	31	31	31	acs	0.347624565469293	0.28418308227114697	0.11181923522595599	0.17062572421784505	0.31546929316338396	Acetyl-coenzyme A synthetase (EC 6.2.1.1)					0	0	0	0	0	0	0	0	Not annotated
32	32	32	32	actP	1.2508474576271202	1.91864406779661	0.5864406779661021	1.07796610169492	0.9254237288135592	Acetate permease ActP (cation/acetate symporter)					1	1	1	1	1	0	0	0	Not annotated
33	33	33	33	ada	1.9787234042553201	2.42553191489362	1.73758865248227	1.8794326241134798	1.85106382978723	ADA regulatory protein / Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63)					0	0	0	0	0	0	0	0	Not annotated
34	34	34	34	add	1.5498084291187701	2.0977011494252897	1.33333333333333	2.1379310344827602	0.842911877394636	Adenosine deaminase (EC 3.5.4.4)	sp|P22333|ADD_ECOLI;sp|C4ZY85|ADD_ECOBW;sp|B1XF88|ADD_ECODH	0.6666666666666666	5.0	0.6666666666666666	0	0	0	0	0	0	0	0	Not annotated
35	35	35	35	ade	1.54607508532423	2.54607508532423	0.849829351535836	1.60409556313993	1.80887372013652	Adenine deaminase (EC 3.5.4.2)					0	0	0	0	0	0	0	0	Not annotated
36	36	36	36	adhE	1.60625752105897	0.6344163658243079	0.63826714801444	0.845728038507822	3.26137184115523	Alcohol dehydrogenase (EC 1.1.1.1); Acetaldehyde dehydrogenase (EC 1.2.1.10)	sp|P0A9Q7|ADHE_ECOLI	0.8522727272727273	2.471590909090909	0.8579545454545455	1	1	1	1	1	0	0	0	Not annotated
37	37	37	37	adhP	2.37261146496815	2.09235668789809	1.5859872611465	1.9171974522293	1.07006369426752	Alcohol dehydrogenase (EC 1.1.1.1)					0	0	0	0	0	0	0	0	Not annotated
38	38	38	38	adiA	2.6124260355029603	2.57396449704142	0.9940828402366859	1.7278106508875701	1.96449704142012	Arginine decarboxylase, catabolic (EC 4.1.1.19)					0	0	0	0	0	0	0	0	Not annotated
39	39	39	39	adiC	2.96273291925466	4.43478260869565	1.01242236024845	2.09937888198758	1.7142857142857095	Arginine/agmatine antiporter					0	0	0	0	0	0	0	0	Not annotated
40	40	40	40	adiY	2.96190476190476	3.2476190476190494	1.22857142857143	2.18095238095238	1.5523809523809498	Transcriptional regulator of catabolic arginine decarboxylase (adiA)					0	0	0	0	0	0	0	0	Not annotated
41	41	41	41	adk	2.56271929824561	4.23508771929825	2.28947368421053	2.75043859649123	0.5807017543859649	Adenylate kinase (EC 2.7.4.3)					0	0	0	0	0	0	0	0	Not annotated
42	42	42	42	aegA	1.41269841269841	2.1111111111111103	0.980952380952381	1.4952380952381	1.6698412698412701	Glutamate synthase [NADPH] small chain (EC 1.4.1.13)					1	1	1	1	1	0	0	0	Not annotated
43	43	43	43	aer	1.28484107579462	2.6320293398533	1.67114914425428	2.2200488997555	0.969437652811736	Aerotaxis sensor receptor protein					1	1	1	1	1	0	0	0	Not annotated
44	44	44	44	aes	1.64454976303318	1.82938388625592	0.616113744075829	1.00473933649289	1.8436018957346	Acetyl esterase (EC 3.1.1.-)					0	0	0	0	0	0	0	0	Not annotated
45	45	45	45	afuB	3.5	3.5	2.21428571428571	2.5	1.57142857142857	Iron(III)-transport system permease protein SfuB					0	0	0	0	0	0	0	0	Not annotated
46	46	46	46	afuC	3.0	3.47222222222222	1.10185185185185	2.5833333333333304	1.7037037037037	ABC transporter ATP-binding protein					0	0	0	0	0	0	0	0	Not annotated
47	47	47	47	agaA	3.0297029702970297	4.9702970297029685	1.02970297029703	2.65346534653465	2.20792079207921	N-acetylgalactosamine-6-phosphate deacetylase (EC 3.5.1.25)					0	0	0	0	0	0	0	0	Not annotated
48	48	48	48	agaB	3.0476190476190497	4.0	2.14285714285714	2.28571428571429	2.2380952380952404	PTS system, galactosamine-specific IIB component (EC 2.7.1.69)					0	0	0	0	0	0	0	0	Not annotated
49	49	49	49	agaC	4.0	5.15625	1.34375	3.25	1.40625	PTS system, galactosamine-specific IIC component					1	1	1	1	1	0	0	0	Not annotated
50	50	50	50	agaD	2.953125	3.96875	1.046875	2.25	1.65625	PTS system, N-acetylgalactosamine-specific IID component (EC 2.7.1.69)					0	0	0	0	0	0	0	0	Not annotated
51	51	51	51	agaI	3.21428571428571	4.178571428571431	1.21428571428571	2.5476190476190497	2.0	Galactosamine-6-phosphate isomerase (galactosamine-6-phosphate deaminase) (EC 5.3.1.-)					1	1	1	1	1	0	0	0	Not annotated
52	52	52	52	agaR	0.986394557823129	1.2644557823129199	1.4693877551020402	1.42091836734694	2.92006802721088	Transcriptional repressor of aga operon					0	0	0	0	0	0	0	0	Not annotated
53	53	53	53	agaS	2.696	3.032	0.8320000000000001	1.8719999999999999	1.5119999999999998	Galactosamine-6-phosphate isomerase (EC 5.3.1.-)					0	0	0	0	0	0	0	0	Not annotated
54	54	54	54	agaV	3.6666666666666696	5.08333333333333	0.708333333333333	3.5	1.5416666666666698	PTS system, N-acetylgalactosamine-specific IIB component (EC 2.7.1.69)					0	0	0	0	0	0	0	0	Not annotated
55	55	55	55	agaW	3.14285714285714	4.89285714285714	0.7857142857142858	2.32142857142857	2.14285714285714	PTS system, N-acetylgalactosamine-specific IIC component (EC 2.7.1.69)					0	0	0	0	0	0	0	0	Not annotated
56	56	56	56	agp	0.27181385510312	0.29402432575357	0.148598625066103	0.217345319936542	0.94130089899524	Glucose-1-phosphatase (EC 3.1.3.10)					0	0	0	0	0	0	0	0	Not annotated
57	57	57	57	ahpC	0.44174481386757597	0.6018755328218239	0.50824097755044	0.693947144075021	0.501136686558681	Alkyl hydroperoxide reductase protein C (EC 1.6.4.-)	sp|P0AE08|AHPC_ECOLI	1.2352941176470589	4.588235294117646	1.4313725490196083	0	0	0	0	0	0	0	0	Not annotated
58	58	58	58	ahpF	0.6676777890124711	0.8729356252106499	0.635995955510617	0.8547354229861809	0.6450960566228511	Alkyl hydroperoxide reductase protein F (EC 1.6.4.-)	sp|P35340|AHPF_ECOLI	1.4814814814814816	4.5555555555555545	1.5925925925925926	0	0	0	0	0	0	0	0	Not annotated
59	59	59	59	aidB	2.67816091954023	4.6839080459770095	1.30459770114943	2.51724137931035	2.1724137931034497	Acyl-CoA dehydrogenase (EC 1.3.8.7)					0	0	0	0	0	0	0	0	Not annotated
60	60	60	60	ais	2.26966292134831	2.33707865168539	0.8876404494382021	1.98876404494382	0.8539325842696629	Polymyxin resistance protein PmrG; Ais protein					0	0	0	0	0	0	0	0	Not annotated
61	61	61	61	alaS	0.7646864686468651	1.25610561056106	1.92310231023102	1.56402640264026	1.18415841584158	Alanyl-tRNA synthetase (EC 6.1.1.7)					0	0	0	0	0	0	0	0	Not annotated
62	62	62	62	alaU	0.666666666666667	0.666666666666667	3.6666666666666696	0.33333333333333304	0.666666666666667	tRNA-Ala-TGC					0	0	0	0	0	0	0	0	Not annotated
63	63	63	63	alaU	0.5283018867924529	0.6981132075471701	1.15094339622642	1.15094339622642	0.150943396226415	tRNA-Ala-TGC					0	0	0	0	0	0	0	0	Not annotated
64	64	64	64	alaU	0.0	1.0	3.0	1.0	0.0	tRNA-Ala-TGC					0	0	0	0	0	0	0	0	Not annotated
65	65	65	65	alaW	0.678832116788321	1.40875912408759	1.6058394160583898	1.18248175182482	0.474452554744526	tRNA-Ala-GGC					0	0	0	0	0	0	0	0	Not annotated
66	66	66	66	alaW	0.447115384615385	0.7307692307692311	3.1490384615384603	1.23076923076923	1.67307692307692	tRNA-Ala-GGC					0	0	0	0	0	0	0	0	Not annotated
67	67	67	67	aldA	0.496753246753247	0.0950152788388083	0.0674178762414056	0.10026737967914401	0.873663101604278	Aldehyde dehydrogenase A (EC 1.2.1.22) / Glycolaldehyde dehydrogenase (EC 1.2.1.21)	sp|P25553|ALDA_ECOLI	0.8235294117647058	2.2941176470588243	0.7647058823529411	1	1	1	1	1	0	0	0	Not annotated
68	68	68	68	aldB	1.47191011235955	2.99625468164794	0.8876404494382021	1.4494382022471899	1.14232209737828	Aldehyde dehydrogenase (EC 1.2.1.3)					0	0	0	0	0	0	0	0	Not annotated
69	69	69	69	alkA	3.0103092783505203	4.95876288659794	1.94845360824742	3.1443298969072204	2.4432989690721603	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)					0	0	0	0	0	0	0	0	Not annotated
70	70	70	70	alkB	2.58490566037736	3.26415094339623	0.9056603773584908	2.37735849056604	1.3018867924528301	Alkylated DNA repair protein AlkB					0	0	0	0	0	0	0	0	Not annotated
71	71	71	71	allA	2.75324675324675	3.2727272727272703	2.07792207792208	2.54545454545455	2.74025974025974	Ureidoglycolate hydrolase (EC 3.5.3.19)					0	0	0	0	0	0	0	0	Not annotated
72	72	72	72	allB	2.72222222222222	3.5833333333333304	1.3796296296296298	2.03703703703704	1.5740740740740702	Allantoinase (EC 3.5.2.5)					0	0	0	0	0	0	0	0	Not annotated
73	73	73	73	allC	2.3359375	3.1328125	1.375	1.65625	1.5625	Allantoate amidohydrolase (EC 3.5.3.9)					0	0	0	0	0	0	0	0	Not annotated
74	74	74	74	allD	2.64285714285714	3.928571428571431	0.755102040816326	2.06122448979592	1.38775510204082	Ureidoglycolate dehydrogenase (EC 1.1.1.154)					0	0	0	0	0	0	0	0	Metabolism
75	75	75	75	allR	0.47604562737642603	0.792395437262358	0.961216730038023	0.7292775665399241	1.1558935361216698	Negative regulator of allantoin and glyoxylate utilization operons	sp|P0ACN4|ALLR_ECOLI	2.333333333333333	6.0	1.0	0	0	0	0	0	0	0	0	Not annotated
76	76	76	76	alr	1.3118279569892501	1.53225806451613	1.39784946236559	1.36827956989247	0.9045698924731178	Alanine racemase (EC 5.1.1.1) ## biosynthetic					1	1	1	1	1	0	0	0	Not annotated
77	77	77	77	alsA	2.7108433734939803	3.4518072289156603	0.8253012048192769	1.807228915662649	1.60240963855422	D-allose ABC transporter, ATPase component					1	1	1	1	1	0	0	0	Not annotated
78	78	78	78	alsB	2.33	2.8	1.32	1.8	2.0	D-allose ABC transporter, substrate-binding component					0	0	0	0	0	0	0	0	Not annotated
79	79	79	79	alsC	2.80519480519481	2.8701298701298703	0.9480519480519479	1.9350649350649398	1.5194805194805199	D-allose ABC transporter, permease component					0	0	0	0	0	0	0	0	Not annotated
80	80	80	80	alsE	2.3658536585365897	2.9024390243902403	1.4390243902438995	2.31707317073171	1.8780487804877999	D-allulose-6-phosphate 3-epimerase (EC 5.1.3.-)					0	0	0	0	0	0	0	0	Not annotated
81	81	81	81	alsK	2.73504273504274	3.44444444444445	1.47008547008547	2.2991452991453	1.7350427350427402	D-allose kinase (EC 2.7.1.55)					0	0	0	0	0	0	0	0	Not annotated
82	82	82	82	alx	1.98089171974522	2.8280254777070097	1.1974522292993601	1.9044585987261105	1.25477707006369	Integral membrane protein TerC					0	0	0	0	0	0	0	0	Not annotated
83	83	83	83	amiA	1.0821917808219201	1.38493150684932	1.3027397260273998	1.4027397260274	0.795890410958904	N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)					0	0	0	0	0	0	0	0	Not annotated
84	84	84	84	amiB	1.06708268330733	1.3697347893915803	1.2792511700468001	1.50234009360374	1.47737909516381	N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)					0	0	0	0	0	0	0	0	Not annotated
85	85	85	85	amiC	1.19794344473008	2.47172236503856	3.0424164524421604	2.51670951156812	1.17737789203085	N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)					0	0	0	0	0	0	0	0	Not annotated
86	86	86	86	amn	2.23094688221709	2.3348729792147798	1.4110854503464199	1.9792147806004599	1.60277136258661	AMP nucleosidase (EC 3.2.2.4)	sp|P0AE12|AMN_ECOLI	1.857142857142857	4.714285714285714	1.7142857142857142	0	1	1	1	1	0	0	0	Not annotated
87	87	87	87	ampC	2.39130434782609	3.08695652173913	0.9881422924901192	1.72727272727273	1.48616600790514	Beta-lactamase (EC 3.5.2.6)	sp|P00811|AMPC_ECOLI	1.0	1.5	1.0	0	0	0	0	0	0	0	0	Membrane/cell wall
88	88	88	88	ampD	1.2403100775193798	1.55813953488372	0.7441860465116279	1.67441860465116	2.58914728682171	N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28) AmpD					0	0	0	0	0	0	0	0	Not annotated
89	89	89	89	ampE	2.375	3.3125	1.40340909090909	1.60227272727273	2.03409090909091	AmpE protein					0	1	1	1	1	0	0	0	Not annotated
90	90	90	90	ampG	1.7906976744186005	2.06459948320413	1.48837209302326	1.71317829457364	0.8165374677002579	AmpG permease					0	0	0	0	0	0	0	0	Not annotated
91	91	91	91	ampH	0.699814126394052	0.6942379182156129	0.532527881040892	0.6672862453531601	0.8921933085501859	Penicillin-binding protein AmpH					0	0	0	0	0	0	0	0	Not annotated
92	92	92	92	amtB	1.8838174273858896	3.3609958506224102	1.40663900414938	1.69294605809129	1.3195020746888	Ammonium transporter					0	1	1	1	1	0	0	0	Transport
93	93	93	93	amyA	1.6109215017064802	2.0580204778157	0.8327645051194541	1.2320819112628	1.35836177474403	Cytoplasmic alpha-amylase (EC 3.2.1.1)					0	0	0	0	0	0	0	0	Metabolism
94	94	94	94	ansA	3.125	3.57421875	2.16015625	3.61328125	0.8046875	L-asparaginase I, cytoplasmic (EC 3.5.1.1)					0	0	0	0	0	0	0	0	Not annotated
95	95	95	95	ansB	0.0967411354785817	0.10555441688870698	0.0420168067226891	0.0698913711826194	1.00122976019676	L-asparaginase (EC 3.5.1.1)					0	0	0	0	0	0	0	0	Not annotated
96	96	96	96	ansP	7.41803278688525	6.49180327868853	2.01639344262295	3.6639344262295097	1.9672131147541	L-asparagine permease					0	0	0	0	0	0	0	0	Not annotated
97	97	97	97	apaG	0.903703703703704	1.03333333333333	1.18148148148148	1.3740740740740702	0.774074074074074	ApaG protein					0	0	0	0	0	0	0	0	Not annotated
98	98	98	98	apaH	1.71484375	2.4375	2.51171875	2.79296875	1.04296875	Bis(5'-nucleosyl)-tetraphosphatase, symmetrical (EC 3.6.1.41)					0	0	0	0	0	0	0	0	Metabolism
99	99	99	99	aphA	0.44563106796116503	0.18252427184466	0.0776699029126214	0.11456310679611699	0.630097087378641	NMN phosphatase (EC 3.1.3.5); Class B acid phosphatase precursor (EC 3.1.3.2)					0	1	1	1	1	0	0	0	Not annotated
100	100	100	100	appA	1.8333333333333304	2.7722222222222204	0.85	1.4611111111111101	1.16111111111111	Phosphoanhydride phosphohydrolase (EC 3.1.3.2) (pH 2.5 acid phosphatase) (AP) / 4- phytase (EC 3.1.3.26)					0	0	0	0	0	0	0	0	Not annotated
101	101	101	101	appB	1.77725118483412	2.9905213270142204	0.919431279620853	1.4739336492891002	1.37914691943128	Cytochrome d ubiquinol oxidase subunit II (EC 1.10.3.-)					0	0	0	0	0	0	0	0	Not annotated
102	102	102	102	appC	1.7236842105263201	2.5789473684210487	0.666666666666667	1.45614035087719	1.01754385964912	Cytochrome d ubiquinol oxidase subunit I (EC 1.10.3.-)	sp|P26459|APPC_ECOLI	2.0	12.0	2.0	0	0	0	0	0	0	0	0	Not annotated
103	103	103	103	appY	0.44258373205741597	0.6806220095693779	0.269138755980861	0.289473684210526	0.38516746411483294	Transcriptional regulator of catabolic arginine decarboxylase (adiA)					0	0	0	0	0	0	0	0	Not annotated
104	104	104	104	apt	3.88888888888889	3.7733333333333294	4.328888888888892	3.96444444444444	0.5955555555555561	Adenine phosphoribosyltransferase (EC 2.4.2.7)	sp|P69503|APT_ECOLI;sp|C4ZUS3|APT_ECOBW;sp|B1XFQ6|APT_ECODH	1.5	6.0	2.1250000000000004	0	0	0	0	0	0	0	0	Not annotated
105	105	105	105	aqpZ	2.22222222222222	2.74444444444444	1.0	1.6666666666666698	1.61111111111111	Aquaporin Z					0	0	0	0	0	0	0	0	Not annotated
106	106	106	106	araA	2.71559633027523	3.77064220183486	1.51376146788991	2.02752293577982	2.1743119266054998	L-arabinose isomerase (EC 5.3.1.4)					0	0	0	0	0	0	0	0	Not annotated
107	107	107	107	araB	3.06666666666667	3.4833333333333303	0.858333333333333	2.45	2.1	Ribulokinase (EC 2.7.1.16)					0	0	0	0	0	0	0	0	Not annotated
108	108	108	108	araC	3.44444444444444	1.97777777777778	1.06666666666667	1.3866666666666698	5.7644444444444405	Arabinose operon regulatory protein					0	0	0	0	0	0	0	0	Not annotated
109	109	109	109	araD	3.4594594594594597	4.01351351351351	1.06756756756757	1.7972972972973	2.4189189189189197	L-ribulose-5-phosphate 4-epimerase (EC 5.1.3.4)					0	0	0	0	0	0	0	0	Not annotated
110	110	110	110	araE	0.686274509803922	0.947712418300654	0.6928104575163401	0.581699346405229	1.0735294117647098	Arabinose-proton symporter					0	0	0	0	0	0	0	0	Not annotated
111	111	111	111	araF	1.4437869822485199	1.8224852071005901	0.5325443786982249	1.0414201183432	1.4792899408284	L-arabinose-binding periplasmic protein precursor AraF (TC 3.A.1.2.2)					0	0	0	0	0	0	0	0	Not annotated
112	112	112	112	araG	3.3742331288343594	4.10429447852761	1.1533742331288301	2.5705521472392596	2.38036809815951	L-arabinose transport ATP-binding protein AraG (TC 3.A.1.2.2)					0	0	0	0	0	0	0	0	Not annotated
113	113	113	113	araH	3.70967741935484	4.94354838709677	2.37096774193548	3.90322580645161	2.04838709677419	L-arabinose transport system permease protein (TC 3.A.1.2.2)					0	0	0	0	0	0	0	0	Not annotated
114	114	114	114	araJ	2.21551724137931	3.3275862068965503	1.55172413793103	1.7370689655172398	1.75431034482759	Protein AraJ precursor					0	1	1	1	1	0	0	0	Not annotated
115	115	115	115	arcA	2.77040816326531	3.64285714285714	1.93877551020408	2.56122448979592	2.45408163265306	Aerobic respiration control protein arcA	sp|P0A9Q1|ARCA_ECOLI	0.6666666666666666	2.1111111111111107	0.7037037037037037	0	0	0	0	0	0	0	0	Not annotated
116	116	116	116	argA	2.48235294117647	3.4058823529411804	1.5117647058823502	2.43529411764706	2.09411764705882	N-acetylglutamate synthase (EC 2.3.1.1)	sp|P0A6C5|ARGA_ECOLI	1.3157894736842106	4.2631578947368425	1.5263157894736843	0	0	0	0	0	0	0	0	Not annotated
117	117	117	117	argB	2.14444444444444	3.21111111111111	0.9555555555555559	2.14444444444444	1.5111111111111102	Acetylglutamate kinase (EC 2.7.2.8)	sp|B1XBC4|ARGB_ECODH;sp|P0A6C8|ARGB_ECOLI;sp|C5A0Q8|ARGB_ECOBW	1.1904761904761905	4.571428571428571	1.380952380952381	0	0	0	0	0	0	0	0	Not annotated
118	118	118	118	argC	1.64566929133858	2.6771653543307097	1.13385826771654	1.41732283464567	1.3464566929133899	N-acetyl-gamma-glutamyl-phosphate reductase (EC 1.2.1.38)	sp|P11446|ARGC_ECOLI	1.1428571428571428	4.071428571428571	1.1428571428571428	0	0	0	0	0	0	0	0	Not annotated
119	119	119	119	argD	1.8333333333333304	3.41333333333333	1.9066666666666696	2.2533333333333303	1.73333333333333	Acetylornithine aminotransferase (EC 2.6.1.11) / N-succinyl-L,L-diaminopimelate aminotransferase (EC 2.6.1.17)	sp|P18335|ARGD_ECOLI	1.03921568627451	2.647058823529412	0.8627450980392156	0	0	0	0	0	0	0	0	Not annotated
120	120	120	120	argE	1.67727272727273	2.08636363636364	1.06818181818182	1.6181818181818202	1.32272727272727	Acetylornithine deacetylase (EC 3.5.1.16)	sp|P23908|ARGE_ECOLI;sp|C5A0C3|ARGE_ECOBW;sp|B1XBC2|ARGE_ECODH	0.9375	2.4375	1.0	0	1	1	1	1	0	0	0	Not annotated
121	121	121	121	argF	2.35365853658537	3.92682926829268	1.73780487804878	2.71951219512195	1.4512195121951201	Ornithine carbamoyltransferase (EC 2.1.3.3)					0	0	0	0	0	0	0	0	Not annotated
