	Unnamed: 0	NCBI_GENE_ID	function	Protein IDs	strain	transcription	muts
97	97	apaG	Not annotated		1	0.903703703703704	0
98	98	apaH	Metabolism		1	1.71484375	0
99	99	aphA	Not annotated		1	0.44563106796116503	0
100	100	appA	Not annotated		1	1.8333333333333304	0
101	101	appB	Not annotated		1	1.77725118483412	0
102	102	appC	Not annotated	sp|P26459|APPC_ECOLI	1	1.7236842105263201	0
103	103	appY	Not annotated		1	0.44258373205741597	0
104	104	apt	Not annotated	sp|P69503|APT_ECOLI;sp|C4ZUS3|APT_ECOBW;sp|B1XFQ6|APT_ECODH	1	3.88888888888889	0
105	105	aqpZ	Not annotated		1	2.22222222222222	0
106	106	araA	Not annotated		1	2.71559633027523	0
107	107	araB	Not annotated		1	3.06666666666667	0
108	108	araC	Not annotated		1	3.44444444444444	0
109	109	araD	Not annotated		1	3.4594594594594597	0
110	110	araE	Not annotated		1	0.686274509803922	0
111	111	araF	Not annotated		1	1.4437869822485199	0
112	112	araG	Not annotated		1	3.3742331288343594	0
113	113	araH	Not annotated		1	3.70967741935484	0
114	114	araJ	Not annotated		1	2.21551724137931	0
115	115	arcA	Not annotated	sp|P0A9Q1|ARCA_ECOLI	1	2.77040816326531	0
116	116	argA	Not annotated	sp|P0A6C5|ARGA_ECOLI	1	2.48235294117647	0
117	117	argB	Not annotated	sp|B1XBC4|ARGB_ECODH;sp|P0A6C8|ARGB_ECOLI;sp|C5A0Q8|ARGB_ECOBW	1	2.14444444444444	0
118	118	argC	Not annotated	sp|P11446|ARGC_ECOLI	1	1.64566929133858	0
119	119	argD	Not annotated	sp|P18335|ARGD_ECOLI	1	1.8333333333333304	0
120	120	argE	Not annotated	sp|P23908|ARGE_ECOLI;sp|C5A0C3|ARGE_ECOBW;sp|B1XBC2|ARGE_ECODH	1	1.67727272727273	0
121	121	argF	Not annotated		1	2.35365853658537	0
122	122	argG	Metabolism		1	1.7253521126760605	0
123	123	argH	Not annotated		1	1.3977900552486202	0
124	124	argI	Not annotated		1	2.8761061946902697	1
125	125	argK	Not annotated		1	3.375	0
126	126	argO	Not annotated		1	1.35251798561151	0
127	127	argP	Not annotated	sp|P0A8S1|ARGP_ECOLI;sp|C5A0I6|ARGP_ECOBW;sp|B1XEK1|ARGP_ECODH	1	1.4402035623409701	0
128	128	argR	Not annotated	sp|P0A6D0|ARGR_ECOLI;sp|C4ZSX5|ARGR_ECOBW;sp|B1XHL0|ARGR_ECODH	1	1.5171875	0
129	129	argS	Translation		1	3.95904436860068	0
130	130	argT	Transport	sp|P09551|ARGT_ECOLI	1	0.487201365187713	0
131	131	argW	Not annotated		1	1.5625	0
132	132	argX	Not annotated		1	0.8846153846153849	0
133	133	argY	Translation		1	1.3560924369747902	0
134	134	argY	Translation		1	0.74390243902439	0
135	135	argY	Translation		1	0.660079051383399	0
136	136	argY	Translation		1	0.625	0
137	137	arnT	Not annotated		1	3.19444444444444	0
138	138	aroA	Not annotated	sp|P0A6D3|AROA_ECOLI;sp|C4ZQ34|AROA_ECOBW;sp|B1X848|AROA_ECODH	1	1.66539923954373	0
139	139	aroB	Not annotated	sp|P07639|AROB_ECOLI;sp|C4ZUP4|AROB_ECOBW;sp|B1X736|AROB_ECODH	1	1.52708058124174	0
140	140	aroC	Not annotated	sp|P12008|AROC_ECOLI;sp|C4ZVM2|AROC_ECOBW;sp|B1X9K2|AROC_ECODH	1	2.67298578199052	0
141	141	aroD	Not annotated	sp|P05194|AROD_ECOLI;sp|C4ZYF5|AROD_ECOBW;sp|B1XG01|AROD_ECODH	1	2.55263157894737	0
142	142	aroE	Not annotated	sp|P15770|AROE_ECOLI;sp|C4ZUD6|AROE_ECOBW;sp|B1X6D4|AROE_ECODH	1	1.27232142857143	0
143	143	aroF	Not annotated	sp|P00888|AROF_ECOLI	1	1.99645390070922	0
144	144	aroG	Not annotated	sp|P0AB91|AROG_ECOLI	1	0.7383573243014391	0
145	145	aroH	Not annotated	sp|P00887|AROH_ECOLI	1	3.04195804195804	0
146	146	aroL	Not annotated		1	2.22477064220184	0
147	147	aroM	Not annotated		1	2.9017341040462403	0
148	148	aroP	Not annotated	sp|P15993|AROP_ECOLI	1	1.65938864628821	0
149	149	arpA	Regulation		1	4.11602209944751	0
150	150	arpB	Not annotated		1	5.46067415730337	0
151	151	arpB	Not annotated		1	4.0410958904109595	0
152	152	arsB	Not annotated		1	3.61111111111111	0
153	153	arsC	Not annotated		1	2.6666666666666696	0
154	154	arsR	Not annotated		1	1.7142857142857095	0
155	155	artI	Not annotated	sp|P30859|ARTI_ECOLI	1	0.615384615384615	0
156	156	artJ	Not annotated	sp|P30860|ARTJ_ECOLI	1	1.9756097560975598	0
157	157	artM	Not annotated		1	0.766536964980545	0
158	158	artQ	Not annotated		1	0.861635220125786	0
159	159	ascB	Not annotated		1	2.87341772151899	0
160	160	ascF	Not annotated		1	3.0	0
161	161	ascG	Not annotated		1	2.26890756302521	0
162	162	asd	Not annotated		1	0.526008182349503	0
163	163	aslA	Not annotated		1	1.91037735849057	0
164	164	aslB	Not annotated		1	1.9281767955801103	0
165	165	asmA	Not annotated	sp|P28249|ASMA_ECOLI	1	0.748086290883786	0
166	166	asnA	Not annotated	sp|P00963|ASNA_ECOLI;sp|C4ZZ22|ASNA_ECOBW;sp|B1X9X2|ASNA_ECODH	1	1.01913875598086	0
167	167	asnB	Not annotated	sp|P22106|ASNB_ECOLI	1	1.09302325581395	1
168	168	asnC	Not annotated	sp|P0ACI6|ASNC_ECOLI	1	2.4731182795698903	0
169	169	asnS	Not annotated		1	1.3747779751332099	0
170	170	asnU	Not annotated		1	5.2	0
171	171	asnU	Not annotated		1	3.1363636363636402	0
172	172	asnU	Not annotated		1	2.49166666666667	0
173	173	asnU	Not annotated		1	1.18571428571429	0
174	174	aspA	Not annotated	sp|P0AC38|ASPA_ECOLI	1	0.106441975356857	0
175	175	aspC	Not annotated		1	0.804210526315789	0
176	176	aspS	Not annotated		1	2.40740740740741	0
177	177	aspT	Not annotated		1	2.29223744292237	0
178	178	aspT	Not annotated		1	2.17647058823529	0
179	179	asr	Not annotated		1	0.5160642570281121	0
180	180	astA	Not annotated		1	1.6283783783783798	0
181	181	astB	Not annotated		1	1.59090909090909	0
182	182	astC	Not annotated		1	0.734059097978227	0
183	183	astD	Not annotated		1	1.35111111111111	0
184	184	astE	Not annotated		1	2.28571428571429	0
185	185	atoA	Not annotated		1	4.4	0
186	186	atoB	Not annotated		1	4.01052631578947	0
187	187	atoC	Not annotated		1	2.2467532467532503	0
188	188	atoD	Not annotated		1	2.1734693877551003	0
189	189	atoE	Transport		1	3.9156626506024095	0
190	190	atoS	Not annotated		1	1.3529411764705903	0
191	191	atpA	Not annotated	sp|P0ABB0|ATPA_ECOLI;sp|C4ZZ12|ATPA_ECOBW;sp|B1X9W2|ATPA_ECODH	1	0.83860319666435	1
192	192	atpB	Not annotated	sp|P0ABB4|ATPB_ECOLI;sp|C4ZZ10|ATPB_ECOBW;sp|B1X9W0|ATPB_ECODH	1	0.9852780806979279	0
193	193	atpC	Not annotated		1	0.374234761778014	0
194	194	atpD	Not annotated	sp|P0ABA4|ATPD_ECOLI;sp|C4ZZ13|ATPD_ECOBW;sp|B1X9W3|ATPD_ECODH	1	1.0650542118431998	0
195	195	atpE	Not annotated	sp|P0A6E6|ATPE_ECOLI;sp|C4ZZ09|ATPE_ECOBW;sp|B1X9V9|ATPE_ECODH	1	1.2771929824561399	1
196	196	atpF	Not annotated	sp|P0ABA0|ATPF_ECOLI;sp|B1X9W4|ATPF_ECODH	1	0.888937858087263	0
197	197	atpG	Not annotated	sp|P0ABA6|ATPG_ECOLI;sp|C4ZZ11|ATPG_ECOBW;sp|B1X9W1|ATPG_ECODH	1	1.05382932166302	0
198	198	atpH	Not annotated		1	1.36904761904762	0
199	199	atpI	Metabolism		1	0.259368836291913	0
200	200	avtA	Not annotated	sp|P09053|AVTA_ECOLI	1	3.1815789473684197	0
201	201	azoR	Not annotated	sp|P41407|AZOR_ECOLI	1	2.883040935672509	0
202	202	bacA	Not annotated		1	1.7481481481481498	0
203	203	baeR	Not annotated	sp|P69228|BAER_ECOLI	1	4.25333333333333	0
204	204	baeS	Not annotated		1	4.71111111111111	0
205	205	barA	Regulation		1	1.4976851851851898	0
206	206	basR	Not annotated	sp|P30843|BASR_ECOLI	1	1.44559585492228	0
207	207	basS	Not annotated		1	1.69337979094077	0
208	208	bax	Not annotated		1	1.6073697585768705	0
209	209	bcp	Not annotated	sp|P0AE52|BCP_ECOLI	1	2.14151827553889	0
210	210	bcr	Not annotated	sp|P28246|BCR_ECOLI	1	1.26818181818182	0
211	211	bcsA	Not annotated		1	1.5562632696390701	1
212	212	bcsB	Not annotated		1	1.6897810218978102	0
213	213	bcsC	Not annotated		1	1.5724508050089399	0
214	214	bcsE	Not annotated		1	0.3981209630064589	1
215	215	bcsG	Not annotated		1	1.06818181818182	0
216	216	bcsZ	Not annotated		1	1.7480314960629901	0
217	217	bdm	Not annotated		1	0.7307692307692311	0
218	218	bfd	Not annotated		1	8.85106382978723	0
219	219	bfr	Not annotated	sp|P0ABD3|BFR_ECOLI	1	0.4066760695815701	0
220	220	bglA	Not annotated	sp|Q46829|BGLA_ECOLI	1	1.19938650306748	0
221	221	bglB	Not annotated		1	2.59259259259259	1
222	222	bglF	Metabolism		1	2.5306122448979598	0
223	223	bglG	Regulation		1	1.14349775784753	0
224	224	bglH	Not annotated		1	2.8108108108108105	1
225	225	bglJ	Not annotated		1	1.5753968253968302	1
226	226	bglX	Not annotated	sp|P33363|BGLX_ECOLI	1	1.58872651356994	1
227	227	bioA	Membrane/cell wall	sp|P12995|BIOA_ECOLI	1	516.894117647059	0
228	228	bioB	Membrane/cell wall	sp|P12996|BIOB_ECOLI;sp|B1X7A5|BIOB_ECODH	1	832.6	0
229	229	bioC	Not annotated	sp|P12999|BIOC_ECOLI	1	75.61702127659579	0
230	230	bioD	Not annotated		1	129.679487179487	0
231	231	bioF	Not annotated		1	184.95161290322602	0
232	232	bioH	Not annotated	sp|P13001|BIOH_ECOLI;sp|C4ZUR7|BIOH_ECOBW;sp|B1X758|BIOH_ECODH	1	2.21929824561404	0
233	233	bipA	Not annotated		1	1.50153981522217	1
234	234	birA	Not annotated		1	2.05185185185185	1
235	235	bisC	Not annotated		1	1.84146341463415	0
236	236	blc	Not annotated		1	2.4406779661016897	0
237	237	bolA	Not annotated	sp|P0ABE2|BOLA_ECOLI	1	0.752631578947368	0
238	238	borD	Phage	sp|P77330|BORD_ECOLI	1	5.51287553648069	0
239	239	brnQ	Not annotated		1	1.58660508083141	0
240	240	btuB	Not annotated	sp|P06129|BTUB_ECOLI	1	1.5957767722473601	0
241	241	btuC	Transport		1	1.3436293436293405	0
242	242	btuD	Not annotated		1	1.65822784810127	0
243	243	btuE	Not annotated	sp|P06610|BTUE_ECOLI	1	1.31386861313869	0
244	244	btuF	Not annotated		1	3.7386363636363598	0
245	245	btuR	Not annotated		1	2.73076923076923	0
246	246	cadA	Not annotated		1	1.6162464985994398	0
247	247	cadB	Not annotated		1	1.68783068783069	0
248	248	cadC	Not annotated		1	1.43840579710145	0
249	249	caiA	Not annotated		1	1.5114754098360699	0
250	250	caiB	Not annotated		1	4.11494252873563	0
251	251	caiC	Metabolism		1	3.1358024691358	0
252	252	caiD	Not annotated		1	4.46153846153846	0
253	253	caiE	Not annotated		1	2.21296296296296	0
254	254	caiF	Not annotated		1	1.72727272727273	0
255	255	caiT	Not annotated		1	3.07476635514019	0
256	256	can	Not annotated	sp|P61517|CAN_ECOLI	1	1.82483474976393	0
257	257	carA	Not annotated	sp|P0A6F1|CARA_ECOLI	1	2.95035460992908	0
258	258	carB	Not annotated	sp|P00968|CARB_ECOLI	1	3.39688715953307	0
259	259	cbl	Not annotated	sp|Q47083|CBL_ECOLI	1	2.00772200772201	0
260	260	cbpA	Not annotated		1	1.4843137254902	0
261	261	cbpM	Not annotated		1	1.71666666666667	0
262	262	cbrA	Not annotated		1	1.40441176470588	0
263	263	cbrC	Not annotated		1	0.40399999999999997	0
264	264	cca	Not annotated		1	1.54633204633205	0
265	265	cchA	Not annotated		1	1.76	0
266	266	cchB	Not annotated		1	2.52941176470588	1
267	267	ccmA	Transport		1	1.02564102564103	1
268	268	ccmB	Not annotated		1	1.2432432432432399	0
269	269	ccmC	Not annotated		1	0.88659793814433	1
270	270	ccmD	Not annotated		1	5.0	0
271	271	ccmE	Not annotated		1	2.24193548387097	0
272	272	ccmF	Not annotated		1	2.34722222222222	0
273	273	ccmG	Not annotated		1	1.8333333333333304	0
274	274	ccmH	Not annotated		1	1.27443609022556	0
275	275	cdaR	Not annotated		1	1.21397379912664	0
276	276	cdd	Metabolism	sp|P0ABF6|CDD_ECOLI;sp|C4ZSM3|CDD_ECOBW;sp|B1X7N2|CDD_ECODH	1	0.238750808463457	0
277	277	cdh	Not annotated	sp|P06282|CDH_ECOLI;sp|C5A085|CDH_ECOBW;sp|B1XB84|CDH_ECODH	1	2.834862385321101	0
278	278	cdsA	Not annotated		1	1.6666666666666698	0
279	279	cdsA	Not annotated		1	1.2452830188679198	0
280	280	cedA	Not annotated		1	4.35555555555556	0
281	281	cfa	Not annotated	sp|P0A9H7|CFA_ECOLI	1	0.796638655462185	0
282	282	chaA	Not annotated	sp|P31801|CHAA_ECOLI	1	1.23013698630137	0
283	283	chaB	Not annotated	sp|P0AE63|CHAB_ECOLI	1	1.25252525252525	0
284	284	chaC	Not annotated		1	4.47089947089947	0
285	285	chbA	Not annotated		1	5.52	0
286	286	chbB	Not annotated		1	0.471973094170404	0
287	287	chbC	Not annotated		1	1.1361111111111102	0
288	288	chbF	Not annotated		1	3.3394495412843996	1
289	289	chbG	Not annotated		1	5.05434782608696	1
290	290	chbR	Not annotated		1	3.1007751937984502	1
291	291	cheA	Not annotated		1	3.1339285714285694	0
292	292	cheB	Not annotated		1	5.09756097560976	0
293	293	cheR	Regulation		1	4.885714285714291	0
294	294	cheW	Not annotated		1	3.5625	1
295	295	cheY	Not annotated		1	3.8	0
296	296	cheZ	Not annotated		1	3.16129032258065	0
297	297	chiA	Not annotated		1	1.59297520661157	0
298	298	chpA	Not annotated		1	1.5607476635514	0
299	299	chpB	Not annotated		1	5.76470588235294	0
300	300	chpR	Not annotated		1	2.1022727272727297	0
301	301	chpS	Not annotated		1	4.77777777777778	0
302	302	cirA	Not annotated	sp|P17315|CIRA_ECOLI	1	7.60924369747899	1
303	303	citA	Not annotated		1	2.50952380952381	0
304	304	citB	Not annotated		1	1.9065420560747701	0
305	305	citC	Not annotated		1	2.3076923076923097	0
306	306	citD	Not annotated		1	1.4	0
307	307	citE	Not annotated		1	2.3636363636363598	0
308	308	citF	Not annotated		1	4.11290322580645	1
309	309	citG	Not annotated	sp|P77231|CITG_ECOLI;sp|C4ZWA2|CITG_ECOBW	1	4.33333333333333	0
310	310	citT	Not annotated		1	2.56944444444444	1
311	311	citX	Not annotated		1	2.8809523809523796	1
312	312	clcA	Not annotated		1	0.46414499605989	0
313	313	clcB	Not annotated		1	5.3394495412844005	0
314	314	cld	Not annotated		1	1.39339407744875	0
315	315	clpA	Not annotated	sp|P0ABH9|CLPA_ECOLI	1	0.5333246550377511	1
316	316	clpB	Not annotated	sp|P63284|CLPB_ECOLI	1	3.4314115308151094	0
317	317	clpP	Other	sp|P0A6G7|CLPP_ECOLI	1	1.98473282442748	0
318	318	clpS	Not annotated	sp|P0A8Q6|CLPS_ECOLI;sp|C4ZY53|CLPS_ECOBW;sp|B1X822|CLPS_ECODH	1	0.28094932649134097	0
319	319	clpX	Other	sp|P0A6H1|CLPX_ECOLI;sp|C4ZTJ5|CLPX_ECOBW;sp|B1XFM6|CLPX_ECODH	1	1.1952337305224598	0
320	320	cls	Not annotated		1	1.50102249488753	0
321	321	cmk	Not annotated		1	6.31369863013699	1
322	322	cmr	Not annotated		1	2.4421487603305803	0
323	323	cmtA	Not annotated		1	3.3247863247863196	0
324	324	cmtB	Transport		1	2.51428571428571	0
325	325	coaA	Not annotated	sp|P0A6I3|COAA_ECOLI;sp|C5A0R9|COAA_ECOBW;sp|B1XBY1|COAA_ECODH	1	1.0584329349269601	0
326	326	coaD	Not annotated	sp|P0A6I6|COAD_ECOLI;sp|C4ZXM6|COAD_ECOBW;sp|B1X968|COAD_ECODH	1	2.38571428571429	0
327	327	coaE	Not annotated		1	1.6643717728055099	0
328	328	cobB	Not annotated		1	1.3818181818181798	0
329	329	cobC	Not annotated		1	1.58208955223881	0
330	330	cobS	Not annotated	sp|P36561|COBS_ECOLI;sp|C4ZQQ5|COBS_ECOBW;sp|B1X6T0|COBS_ECODH	1	2.578125	0
331	331	cobT	Not annotated	sp|P36562|COBT_ECOLI;sp|C4ZQQ4|COBT_ECOBW;sp|B1X6S9|COBT_ECODH	1	2.9748427672956	0
332	332	cobU	Not annotated		1	1.41441441441441	0
333	333	cof	Not annotated		1	2.11180124223602	0
334	334	copA	Transport	sp|Q59385|COPA_ECOLI	1	1.41950113378685	0
335	335	corA	Not annotated	sp|P0ABI4|CORA_ECOLI	1	4.624	0
336	336	cpdA	Not annotated		1	0.535744322960471	0
337	337	cpdB	Not annotated	sp|P08331|CPDB_ECOLI	1	1.6413223140495905	0
338	338	cpsB	Membrane/cell wall		1	3.625	0
339	339	cpsG	Not annotated		1	4.09459459459459	0
340	340	cpxA	Not annotated	sp|P0AE82|CPXA_ECOLI	1	2.12585034013605	0
341	341	cpxP	Not annotated		1	2.27600202942669	0
342	342	cpxR	Not annotated	sp|P0AE88|CPXR_ECOLI	1	1.73643410852713	0
343	343	crcA	Not annotated		1	0.7458677685950409	0
344	344	crcB	Not annotated		1	3.08092485549133	0
345	345	creA	Not annotated	sp|P0AE91|CREA_ECOLI	1	1.9632653061224496	0
346	346	creB	Not annotated		1	2.5531914893617	0
347	347	creC	Not annotated		1	2.3612334801762103	0
348	348	creD	Not annotated		1	2.06091370558376	0
349	349	crl	Regulation	sp|P24251|CRL_ECOLI;sp|C4ZT97|CRL_ECOBW;sp|B1XDY3|CRL_ECODH	1	1.13282985339849	0
350	350	crp	Not annotated	sp|P0ACJ8|CRP_ECOLI	1	1.08892658105161	0
351	351	crr	Not annotated		1	3.46767343086361	0
352	352	csdA	Not annotated	sp|Q46925|CSDA_ECOLI	1	2.78732106339468	0
353	353	csgA	Not annotated		1	2.8863636363636402	1
354	354	csgB	Not annotated		1	7.5	0
355	355	csgC	Not annotated		1	3.3448275862069	0
356	356	csgD	Not annotated		1	2.15	0
357	357	csgE	Not annotated		1	4.20833333333333	0
358	358	csgF	Not annotated		1	2.77777777777778	0
359	359	csgG	Not annotated		1	3.73831775700935	0
360	360	csiE	Not annotated		1	0.5510887772194311	0
361	361	csiR	Not annotated		1	1.8375	0
362	362	cspA	Not annotated	sp|P0A9X9|CSPA_ECOLI	1	0.365884085279743	0
363	363	cspB	Not annotated		1	0.731954985605862	0
364	364	cspC	Regulation	sp|P0A9Y6|CSPC_ECOLI	1	0.161547223817822	0
365	365	cspD	Not annotated	sp|P0A968|CSPD_ECOLI	1	0.812273276904474	0
366	366	cspE	Regulation	sp|P0A972|CSPE_ECOLI	1	0.44018633044630795	0
367	367	cspF	Not annotated		1	4.453125	0
368	368	cspG	Not annotated		1	1.16854995035696	0
369	369	cspH	Not annotated		1	2.50292397660819	0
370	370	cspI	Not annotated		1	0.41038961038961	0
371	371	csrA	Not annotated		1	0.534533551554828	0
372	372	cstA	Not annotated	sp|P15078|CSTA_ECOLI	1	0.3825944170771761	1
373	373	cueO	Not annotated	sp|P36649|CUEO_ECOLI	1	1.6875	0
374	374	cueR	Not annotated	sp|P0A9G4|CUER_ECOLI	1	1.9415204678362599	0
375	375	cusA	Not annotated		1	3.05418719211823	0
376	376	cusB	Not annotated		1	3.0	1
377	377	cusC	Not annotated		1	3.0	0
378	378	cusF	Not annotated		1	3.03571428571429	0
379	379	cusR	Not annotated		1	2.39240506329114	0
380	380	cusS	Not annotated		1	3.11377245508982	0
381	381	cutA	Not annotated		1	6.241758241758242	0
382	382	cutC	Not annotated	sp|P67826|CUTC_ECOLI;sp|C4ZQF8|CUTC_ECOBW;sp|B1XHE2|CUTC_ECODH	1	0.7920918367346941	0
383	383	cvpA	Not annotated		1	2.0	0
384	384	cvrA	Not annotated		1	1.53133514986376	0
385	385	cyaA	Not annotated	sp|P00936|CYAA_ECOLI	1	1.69481830417227	0
386	386	cyaY	Not annotated	sp|P27838|CYAY_ECOLI;sp|C4ZZ71|CYAY_ECOBW;sp|B1XAH3|CYAY_ECODH	1	1.36432637571157	0
387	387	cybB	Not annotated		1	3.1647058823529397	0
388	388	cybC	Not annotated		1	1.72489082969432	0
389	389	cycA	Not annotated	sp|P0AAE0|CYCA_ECOLI	1	0.35540464063384297	0
390	390	cydA	Metabolism	sp|P0ABJ9|CYDA_ECOLI	1	0.28870292887029303	0
391	391	cydB	Not annotated	sp|P0ABK2|CYDB_ECOLI	1	0.9795918367346941	1
392	392	cydC	Not annotated	sp|P23886|CYDC_ECOLI	1	1.9670329670329696	0
393	393	cydD	Not annotated	sp|P29018|CYDD_ECOLI	1	2.86281588447653	0
394	394	cyoA	Not annotated	sp|P0ABJ1|CYOA_ECOLI	1	0.8900599672905691	0
395	395	cyoB	Not annotated	sp|P0ABI8|CYOB_ECOLI	1	1.3228125	0
396	396	cyoC	Not annotated		1	0.510967741935484	0
397	397	cyoD	Not annotated		1	1.05397727272727	0
398	398	cyoE	Not annotated		1	0.33643771827706603	0
399	399	cysA	Not annotated	sp|P16676|CYSA_ECOLI	1	3.375	0
400	400	cysB	Not annotated	sp|P0A9F3|CYSB_ECOLI	1	1.42142230026339	0
