	NCBI_GENE_ID	function	Protein IDs	strain	transcription	muts
21	acnB	Aconitate hydratase 2 (EC 4.2.1.3) @ 2-methylisocitrate dehydratase (EC 4.2.1.99)	sp|P36683|ACNB_ECOLI	1	0.708472856418062	0
22	acpP	Acyl carrier protein		1	0.427875088262761	0
23	acpS	Holo-[acyl-carrier protein] synthase (EC 2.7.8.7)		1	2.0	0
24	acpT	4'-phosphopantetheinyl transferase (EC 2.7.8.-)		1	2.07228915662651	0
25	acrA	Membrane fusion protein of RND family multidrug efflux pump	sp|P0AE06|ACRA_ECOLI	1	1.99691040164779	0
26	acrB	RND efflux system, inner membrane transporter CmeB	sp|P31224|ACRB_ECOLI	1	1.3806957373836397	1
27	acrD	RND efflux system, inner membrane transporter CmeB		1	2.0987654320987703	0
28	acrE	RND efflux system, membrane fusion protein CmeA		1	2.98230088495575	0
29	acrF	RND efflux system, inner membrane transporter CmeB		1	2.09779179810726	0
30	acrR	Transcription repressor of multidrug efflux pump acrAB operon, TetR (AcrR) family		1	1.8588390501319296	0
31	acs	Acetyl-coenzyme A synthetase (EC 6.2.1.1)		1	0.347624565469293	0
32	actP	Acetate permease ActP (cation/acetate symporter)		1	1.2508474576271202	1
33	ada	ADA regulatory protein / Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63)		1	1.97872340425532	0
34	add	Adenosine deaminase (EC 3.5.4.4)	sp|P22333|ADD_ECOLI;sp|C4ZY85|ADD_ECOBW;sp|B1XF88|ADD_ECODH	1	1.54980842911877	0
35	ade	Adenine deaminase (EC 3.5.4.2)		1	1.54607508532423	0
36	adhE	Alcohol dehydrogenase (EC 1.1.1.1); Acetaldehyde dehydrogenase (EC 1.2.1.10)	sp|P0A9Q7|ADHE_ECOLI	1	1.60625752105897	1
37	adhP	Alcohol dehydrogenase (EC 1.1.1.1)		1	2.37261146496815	0
38	adiA	Arginine decarboxylase, catabolic (EC 4.1.1.19)		1	2.6124260355029603	0
39	adiC	Arginine/agmatine antiporter		1	2.96273291925466	0
40	adiY	Transcriptional regulator of catabolic arginine decarboxylase (adiA)		1	2.96190476190476	0
41	adk	Adenylate kinase (EC 2.7.4.3)		1	2.56271929824561	0
42	aegA	Glutamate synthase [NADPH] small chain (EC 1.4.1.13)		1	1.41269841269841	1
43	aer	Aerotaxis sensor receptor protein		1	1.28484107579462	1
44	aes	Acetyl esterase (EC 3.1.1.-)		1	1.64454976303318	0
45	afuB	Iron(III)-transport system permease protein SfuB		1	3.5	0
46	afuC	ABC transporter ATP-binding protein		1	3.0	0
47	agaA	N-acetylgalactosamine-6-phosphate deacetylase (EC 3.5.1.25)		1	3.0297029702970297	0
48	agaB	PTS system, galactosamine-specific IIB component (EC 2.7.1.69)		1	3.0476190476190497	0
49	agaC	PTS system, galactosamine-specific IIC component		1	4.0	1
50	agaD	PTS system, N-acetylgalactosamine-specific IID component (EC 2.7.1.69)		1	2.953125	0
51	agaI	Galactosamine-6-phosphate isomerase (galactosamine-6-phosphate deaminase) (EC 5.3.1.-)		1	3.21428571428571	1
52	agaR	Transcriptional repressor of aga operon		1	0.986394557823129	0
53	agaS	Galactosamine-6-phosphate isomerase (EC 5.3.1.-)		1	2.696	0
54	agaV	PTS system, N-acetylgalactosamine-specific IIB component (EC 2.7.1.69)		1	3.6666666666666696	0
55	agaW	PTS system, N-acetylgalactosamine-specific IIC component (EC 2.7.1.69)		1	3.14285714285714	0
56	agp	Glucose-1-phosphatase (EC 3.1.3.10)		1	0.27181385510312	0
57	ahpC	Alkyl hydroperoxide reductase protein C (EC 1.6.4.-)	sp|P0AE08|AHPC_ECOLI	1	0.441744813867576	0
58	ahpF	Alkyl hydroperoxide reductase protein F (EC 1.6.4.-)	sp|P35340|AHPF_ECOLI	1	0.6676777890124711	0
59	aidB	Acyl-CoA dehydrogenase (EC 1.3.8.7)		1	2.67816091954023	0
60	ais	Polymyxin resistance protein PmrG; Ais protein		1	2.26966292134831	0
61	alaS	Alanyl-tRNA synthetase (EC 6.1.1.7)		1	0.7646864686468651	0
62	alaU	tRNA-Ala-TGC		1	0.666666666666667	0
63	alaU	tRNA-Ala-TGC		1	0.5283018867924529	0
64	alaU	tRNA-Ala-TGC		1	0.0	0
65	alaW	tRNA-Ala-GGC		1	0.678832116788321	0
66	alaW	tRNA-Ala-GGC		1	0.447115384615385	0
67	aldA	Aldehyde dehydrogenase A (EC 1.2.1.22) / Glycolaldehyde dehydrogenase (EC 1.2.1.21)	sp|P25553|ALDA_ECOLI	1	0.496753246753247	1
68	aldB	Aldehyde dehydrogenase (EC 1.2.1.3)		1	1.47191011235955	0
69	alkA	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)		1	3.0103092783505203	0
70	alkB	Alkylated DNA repair protein AlkB		1	2.58490566037736	0
71	allA	Ureidoglycolate hydrolase (EC 3.5.3.19)		1	2.75324675324675	0
72	allB	Allantoinase (EC 3.5.2.5)		1	2.72222222222222	0
73	allC	Allantoate amidohydrolase (EC 3.5.3.9)		1	2.3359375	0
74	allD	Ureidoglycolate dehydrogenase (EC 1.1.1.154)		1	2.64285714285714	0
75	allR	Negative regulator of allantoin and glyoxylate utilization operons	sp|P0ACN4|ALLR_ECOLI	1	0.476045627376426	0
76	alr	Alanine racemase (EC 5.1.1.1) ## biosynthetic		1	1.31182795698925	1
77	alsA	D-allose ABC transporter, ATPase component		1	2.7108433734939803	1
78	alsB	D-allose ABC transporter, substrate-binding component		1	2.33	0
79	alsC	D-allose ABC transporter, permease component		1	2.80519480519481	0
80	alsE	D-allulose-6-phosphate 3-epimerase (EC 5.1.3.-)		1	2.3658536585365897	0
81	alsK	D-allose kinase (EC 2.7.1.55)		1	2.73504273504274	0
82	alx	Integral membrane protein TerC		1	1.98089171974522	0
83	amiA	N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)		1	1.08219178082192	0
84	amiB	N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)		1	1.06708268330733	0
85	amiC	N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)		1	1.19794344473008	0
86	amn	AMP nucleosidase (EC 3.2.2.4)	sp|P0AE12|AMN_ECOLI	1	2.23094688221709	0
87	ampC	Beta-lactamase (EC 3.5.2.6)	sp|P00811|AMPC_ECOLI	1	2.39130434782609	0
88	ampD	N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28) AmpD		1	1.2403100775193798	0
89	ampE	AmpE protein		1	2.375	0
90	ampG	AmpG permease		1	1.7906976744186005	0
91	ampH	Penicillin-binding protein AmpH		1	0.699814126394052	0
92	amtB	Ammonium transporter		1	1.8838174273858896	0
93	amyA	Cytoplasmic alpha-amylase (EC 3.2.1.1)		1	1.6109215017064802	0
94	ansA	L-asparaginase I, cytoplasmic (EC 3.5.1.1)		1	3.125	0
95	ansB	L-asparaginase (EC 3.5.1.1)		1	0.0967411354785817	0
96	ansP	L-asparagine permease		1	7.41803278688525	0
97	apaG	ApaG protein		1	0.903703703703704	0
98	apaH	Bis(5'-nucleosyl)-tetraphosphatase, symmetrical (EC 3.6.1.41)		1	1.71484375	0
99	aphA	NMN phosphatase (EC 3.1.3.5); Class B acid phosphatase precursor (EC 3.1.3.2)		1	0.445631067961165	0
100	appA	Phosphoanhydride phosphohydrolase (EC 3.1.3.2) (pH 2.5 acid phosphatase) (AP) / 4- phytase (EC 3.1.3.26)		1	1.8333333333333304	0
101	appB	Cytochrome d ubiquinol oxidase subunit II (EC 1.10.3.-)		1	1.77725118483412	0
102	appC	Cytochrome d ubiquinol oxidase subunit I (EC 1.10.3.-)	sp|P26459|APPC_ECOLI	1	1.72368421052632	0
103	appY	Transcriptional regulator of catabolic arginine decarboxylase (adiA)		1	0.442583732057416	0
104	apt	Adenine phosphoribosyltransferase (EC 2.4.2.7)	sp|P69503|APT_ECOLI;sp|C4ZUS3|APT_ECOBW;sp|B1XFQ6|APT_ECODH	1	3.88888888888889	0
105	aqpZ	Aquaporin Z		1	2.22222222222222	0
106	araA	L-arabinose isomerase (EC 5.3.1.4)		1	2.71559633027523	0
107	araB	Ribulokinase (EC 2.7.1.16)		1	3.06666666666667	0
108	araC	Arabinose operon regulatory protein		1	3.44444444444444	0
109	araD	L-ribulose-5-phosphate 4-epimerase (EC 5.1.3.4)		1	3.45945945945946	0
110	araE	Arabinose-proton symporter		1	0.686274509803922	0
111	araF	L-arabinose-binding periplasmic protein precursor AraF (TC 3.A.1.2.2)		1	1.44378698224852	0
112	araG	L-arabinose transport ATP-binding protein AraG (TC 3.A.1.2.2)		1	3.3742331288343594	0
113	araH	L-arabinose transport system permease protein (TC 3.A.1.2.2)		1	3.70967741935484	0
114	araJ	Protein AraJ precursor		1	2.21551724137931	0
115	arcA	Aerobic respiration control protein arcA	sp|P0A9Q1|ARCA_ECOLI	1	2.77040816326531	0
116	argA	N-acetylglutamate synthase (EC 2.3.1.1)	sp|P0A6C5|ARGA_ECOLI	1	2.48235294117647	0
117	argB	Acetylglutamate kinase (EC 2.7.2.8)	sp|B1XBC4|ARGB_ECODH;sp|P0A6C8|ARGB_ECOLI;sp|C5A0Q8|ARGB_ECOBW	1	2.14444444444444	0
118	argC	N-acetyl-gamma-glutamyl-phosphate reductase (EC 1.2.1.38)	sp|P11446|ARGC_ECOLI	1	1.64566929133858	0
119	argD	Acetylornithine aminotransferase (EC 2.6.1.11) / N-succinyl-L,L-diaminopimelate aminotransferase (EC 2.6.1.17)	sp|P18335|ARGD_ECOLI	1	1.8333333333333304	0
120	argE	Acetylornithine deacetylase (EC 3.5.1.16)	sp|P23908|ARGE_ECOLI;sp|C5A0C3|ARGE_ECOBW;sp|B1XBC2|ARGE_ECODH	1	1.67727272727273	0
121	argF	Ornithine carbamoyltransferase (EC 2.1.3.3)		1	2.35365853658537	0
122	argG	Argininosuccinate synthase (EC 6.3.4.5)		1	1.7253521126760605	0
123	argH	Argininosuccinate lyase (EC 4.3.2.1)		1	1.3977900552486202	0
124	argI	Ornithine carbamoyltransferase (EC 2.1.3.3)		1	2.8761061946902697	1
125	argK	putative periplasmic protein kinase ArgK and related GTPases of G3E family		1	3.375	0
126	argO	Arginine exporter protein ArgO		1	1.35251798561151	0
127	argP	Chromosome initiation inhibitor	sp|P0A8S1|ARGP_ECOLI;sp|C5A0I6|ARGP_ECOBW;sp|B1XEK1|ARGP_ECODH	1	1.44020356234097	0
128	argR	Arginine pathway regulatory protein ArgR, repressor of arg regulon	sp|P0A6D0|ARGR_ECOLI;sp|C4ZSX5|ARGR_ECOBW;sp|B1XHL0|ARGR_ECODH	1	1.5171875	0
129	argS	Arginyl-tRNA synthetase (EC 6.1.1.19)		1	3.95904436860068	0
130	argT	Lysine-arginine-ornithine-binding periplasmic protein precursor (TC 3.A.1.3.1)	sp|P09551|ARGT_ECOLI	1	0.487201365187713	0
131	argW	tRNA-Arg-CCT		1	1.5625	0
132	argX	tRNA-Arg-CCG		1	0.8846153846153849	0
133	argY	tRNA-Arg-ACG		1	1.3560924369747902	0
134	argY	tRNA-Arg-ACG		1	0.74390243902439	0
135	argY	tRNA-Arg-ACG		1	0.660079051383399	0
136	argY	tRNA-Arg-ACG		1	0.625	0
137	arnT	Polymyxin resistance protein ArnT, undecaprenyl phosphate-alpha-L-Ara4N transferase; Melittin resistance protein PqaB		1	3.19444444444444	0
138	aroA	5-Enolpyruvylshikimate-3-phosphate synthase (EC 2.5.1.19)	sp|P0A6D3|AROA_ECOLI;sp|C4ZQ34|AROA_ECOBW;sp|B1X848|AROA_ECODH	1	1.66539923954373	0
139	aroB	3-dehydroquinate synthase (EC 4.2.3.4)	sp|P07639|AROB_ECOLI;sp|C4ZUP4|AROB_ECOBW;sp|B1X736|AROB_ECODH	1	1.52708058124174	0
140	aroC	Chorismate synthase (EC 4.2.3.5)	sp|P12008|AROC_ECOLI;sp|C4ZVM2|AROC_ECOBW;sp|B1X9K2|AROC_ECODH	1	2.67298578199052	0
141	aroD	3-dehydroquinate dehydratase I (EC 4.2.1.10)	sp|P05194|AROD_ECOLI;sp|C4ZYF5|AROD_ECOBW;sp|B1XG01|AROD_ECODH	1	2.55263157894737	0
142	aroE	Shikimate 5-dehydrogenase I alpha (EC 1.1.1.25)	sp|P15770|AROE_ECOLI;sp|C4ZUD6|AROE_ECOBW;sp|B1X6D4|AROE_ECODH	1	1.27232142857143	0
143	aroF	2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I alpha (EC 2.5.1.54)	sp|P00888|AROF_ECOLI	1	1.99645390070922	0
144	aroG	2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I alpha (EC 2.5.1.54)	sp|P0AB91|AROG_ECOLI	1	0.7383573243014391	0
145	aroH	2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I alpha (EC 2.5.1.54)	sp|P00887|AROH_ECOLI	1	3.04195804195804	0
146	aroL	Shikimate kinase III (EC 2.7.1.71)		1	2.22477064220184	0
147	aroM	AroM protein		1	2.9017341040462403	0
148	aroP	Aromatic amino acid transport protein AroP	sp|P15993|AROP_ECOLI	1	1.65938864628821	0
149	arpA	Ankyrin-repeat protein A		1	4.11602209944751	0
150	arpB	FIG00638086: hypothetical protein		1	5.46067415730337	0
151	arpB	Ankyrin-repeat protein A		1	4.04109589041096	0
152	arsB	Arsenic efflux pump protein		1	3.61111111111111	0
153	arsC	Arsenate reductase (EC 1.20.4.1)		1	2.6666666666666696	0
154	arsR	Arsenical resistance operon repressor		1	1.7142857142857095	0
155	artI	Arginine ABC transporter, periplasmic arginine-binding protein ArtI	sp|P30859|ARTI_ECOLI	1	0.615384615384615	0
156	artJ	Arginine ABC transporter, periplasmic arginine-binding protein ArtJ	sp|P30860|ARTJ_ECOLI	1	1.97560975609756	0
157	artM	Arginine ABC transporter, permease protein ArtM		1	0.766536964980545	0
158	artQ	Arginine ABC transporter, permease protein ArtQ		1	0.861635220125786	0
159	ascB	6-phospho-beta-glucosidase ascB (EC 3.2.1.86)		1	2.87341772151899	0
160	ascF	PTS system, arbutin-, cellobiose-, and salicin-specific IIBC component (EC 2.7.1.69)		1	3.0	0
161	ascG	AscBF operon repressor		1	2.26890756302521	0
162	asd	Aspartate-semialdehyde dehydrogenase (EC 1.2.1.11)		1	0.526008182349503	0
163	aslA	Arylsulfatase (EC 3.1.6.1)		1	1.91037735849057	0
164	aslB	Putative arylsulfatase regulatory protein		1	1.9281767955801103	0
165	asmA	A/G-specific adenine glycosylase (EC 3.2.2.-)	sp|P28249|ASMA_ECOLI	1	0.748086290883786	0
166	asnA	Aspartate--ammonia ligase (EC 6.3.1.1)	sp|P00963|ASNA_ECOLI;sp|C4ZZ22|ASNA_ECOBW;sp|B1X9X2|ASNA_ECODH	1	1.01913875598086	0
167	asnB	Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4)	sp|P22106|ASNB_ECOLI	1	1.09302325581395	1
168	asnC	Regulatory protein AsnC	sp|P0ACI6|ASNC_ECOLI	1	2.4731182795698903	0
169	asnS	Asparaginyl-tRNA synthetase (EC 6.1.1.22)		1	1.37477797513321	0
170	asnU	tRNA-Asn-GTT		1	5.2	0
171	asnU	tRNA-Asn-GTT		1	3.13636363636364	0
172	asnU	tRNA-Asn-GTT		1	2.49166666666667	0
173	asnU	tRNA-Asn-GTT		1	1.18571428571429	0
174	aspA	Aspartate ammonia-lyase (EC 4.3.1.1)	sp|P0AC38|ASPA_ECOLI	1	0.106441975356857	0
175	aspC	Aspartate aminotransferase (EC 2.6.1.1)		1	0.804210526315789	0
176	aspS	Aspartyl-tRNA synthetase (EC 6.1.1.12)		1	2.40740740740741	0
177	aspT	tRNA-Asp-GTC		1	2.29223744292237	0
178	aspT	tRNA-Asp-GTC		1	2.17647058823529	0
179	asr	Acid shock protein precursor		1	0.5160642570281121	0
180	astA	Arginine N-succinyltransferase (EC 2.3.1.109)		1	1.6283783783783798	0
181	astB	Succinylarginine dihydrolase (EC 3.5.3.23)		1	1.59090909090909	0
182	astC	Succinylornithine transaminase (EC 2.6.1.81)		1	0.734059097978227	0
183	astD	Succinylglutamic semialdehyde dehydrogenase (EC 1.2.1.71)		1	1.35111111111111	0
184	astE	Succinylglutamate desuccinylase (EC 3.5.1.96)		1	2.28571428571429	0
185	atoA	Acetyl-CoA:acetoacetyl-CoA transferase, beta subunit (EC 2.8.3.8)		1	4.4	0
186	atoB	Acetyl-CoA acetyltransferase (EC 2.3.1.9)		1	4.01052631578947	0
187	atoC	Acetoacetate metabolism regulatory protein AtoC		1	2.2467532467532503	0
188	atoD	Acetyl-CoA:acetoacetyl-CoA transferase, alpha subunit (EC 2.8.3.8)		1	2.1734693877551003	0
189	atoE	Short chain fatty acids transporter		1	3.9156626506024095	0
190	atoS	Sensory histidine kinase AtoS		1	1.3529411764705903	0
191	atpA	ATP synthase alpha chain (EC 3.6.3.14)	sp|P0ABB0|ATPA_ECOLI;sp|C4ZZ12|ATPA_ECOBW;sp|B1X9W2|ATPA_ECODH	1	0.83860319666435	1
192	atpB	ATP synthase F0 sector subunit a (EC 3.6.3.14)	sp|P0ABB4|ATPB_ECOLI;sp|C4ZZ10|ATPB_ECOBW;sp|B1X9W0|ATPB_ECODH	1	0.985278080697928	0
193	atpC	ATP synthase epsilon chain (EC 3.6.3.14)		1	0.374234761778014	0
194	atpD	ATP synthase beta chain (EC 3.6.3.14)	sp|P0ABA4|ATPD_ECOLI;sp|C4ZZ13|ATPD_ECOBW;sp|B1X9W3|ATPD_ECODH	1	1.0650542118431998	0
195	atpE	ATP synthase F0 sector subunit c (EC 3.6.3.14)	sp|P0A6E6|ATPE_ECOLI;sp|C4ZZ09|ATPE_ECOBW;sp|B1X9V9|ATPE_ECODH	1	1.27719298245614	1
196	atpF	ATP synthase F0 sector subunit b (EC 3.6.3.14)	sp|P0ABA0|ATPF_ECOLI;sp|B1X9W4|ATPF_ECODH	1	0.888937858087263	0
197	atpG	ATP synthase gamma chain (EC 3.6.3.14)	sp|P0ABA6|ATPG_ECOLI;sp|C4ZZ11|ATPG_ECOBW;sp|B1X9W1|ATPG_ECODH	1	1.05382932166302	0
198	atpH	ATP synthase delta chain (EC 3.6.3.14)		1	1.36904761904762	0
199	atpI	ATP synthase protein I		1	0.259368836291913	0
200	avtA	Valine--pyruvate aminotransferase (EC 2.6.1.66)	sp|P09053|AVTA_ECOLI	1	3.18157894736842	0
201	azoR	FMN-dependent NADH-azoreductase	sp|P41407|AZOR_ECOLI	1	2.883040935672509	0
202	bacA	Undecaprenyl-diphosphatase (EC 3.6.1.27)		1	1.7481481481481498	0
203	baeR	Response regulator BaeR	sp|P69228|BAER_ECOLI	1	4.25333333333333	0
204	baeS	Sensory histidine kinase BaeS		1	4.71111111111111	0
205	barA	BarA sensory histidine kinase (= VarS = GacS)		1	1.4976851851851898	0
206	basR	Transcriptional regulatory protein basR/pmrA	sp|P30843|BASR_ECOLI	1	1.44559585492228	0
207	basS	Sensor protein basS/pmrB (EC 2.7.3.-)		1	1.69337979094077	0
208	bax	BAX protein		1	1.6073697585768705	0
209	bcp	Thiol peroxidase, Bcp-type (EC 1.11.1.15)	sp|P0AE52|BCP_ECOLI	1	2.14151827553889	0
210	bcr	MFS family multidrug transport protein, bicyclomycin resistance protein	sp|P28246|BCR_ECOLI	1	1.26818181818182	0
211	bcsA	Cellulose synthase catalytic subunit [UDP-forming] (EC 2.4.1.12)		1	1.55626326963907	1
212	bcsB	Cyclic di-GMP binding protein precursor		1	1.6897810218978102	0
213	bcsC	Cellulose synthase operon protein C		1	1.57245080500894	0
214	bcsE	FIG005274: hypothetical protein		1	0.3981209630064589	1
215	bcsG	FIG002337: predicted inner membrane protein		1	1.06818181818182	0
216	bcsZ	Endoglucanase precursor (EC 3.2.1.4)		1	1.74803149606299	0
217	bdm	Bdm protein		1	0.7307692307692311	0
218	bfd	Bacterioferritin-associated ferredoxin		1	8.85106382978723	0
219	bfr	Bacterioferritin	sp|P0ABD3|BFR_ECOLI	1	0.4066760695815701	0
220	bglA	6-phospho-beta-glucosidase (EC 3.2.1.86)	sp|Q46829|BGLA_ECOLI	1	1.19938650306748	0
221	bglB	6-phospho-beta-glucosidase (EC 3.2.1.86)		1	2.59259259259259	1
222	bglF	PTS system, beta-glucoside-specific IIB component (EC 2.7.1.69) / PTS system, beta-glucoside-specific IIC component (EC 2.7.1.69) / PTS system, beta-glucoside-specific IIA component (EC 2.7.1.69)		1	2.53061224489796	0
223	bglG	Beta-glucoside bgl operon antiterminator, BglG family		1	1.14349775784753	0
224	bglH	Maltoporin (maltose/maltodextrin high-affinity receptor, phage lambda receptor protein)		1	2.8108108108108105	1
225	bglJ	Transcriptional activator protein bglJ		1	1.5753968253968302	1
226	bglX	Periplasmic beta-glucosidase (EC 3.2.1.21)	sp|P33363|BGLX_ECOLI	1	1.58872651356994	1
227	bioA	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62)	sp|P12995|BIOA_ECOLI	1	516.894117647059	0
228	bioB	Biotin synthase (EC 2.8.1.6)	sp|P12996|BIOB_ECOLI;sp|B1X7A5|BIOB_ECODH	1	832.6	0
229	bioC	Biotin synthesis protein BioC	sp|P12999|BIOC_ECOLI	1	75.61702127659579	0
230	bioD	Dethiobiotin synthetase (EC 6.3.3.3)		1	129.679487179487	0
231	bioF	8-amino-7-oxononanoate synthase (EC 2.3.1.47)		1	184.95161290322602	0
232	bioH	Biotin synthesis protein BioH	sp|P13001|BIOH_ECOLI;sp|C4ZUR7|BIOH_ECOBW;sp|B1X758|BIOH_ECODH	1	2.21929824561404	0
233	bipA	GTP-binding protein TypA/BipA		1	1.50153981522217	1
234	birA	Biotin operon repressor / Biotin-protein ligase (EC 6.3.4.15)		1	2.05185185185185	1
235	bisC	Anaerobic dimethyl sulfoxide reductase chain A (EC 1.8.5.3)		1	1.84146341463415	0
236	blc	Outer membrane lipoprotein Blc		1	2.4406779661016897	0
237	bolA	Cell division protein BolA	sp|P0ABE2|BOLA_ECOLI	1	0.752631578947368	0
238	borD	Lipoprotein Bor	sp|P77330|BORD_ECOLI	1	5.51287553648069	0
239	brnQ	Branched-chain amino acid transport system carrier protein		1	1.58660508083141	0
240	btuB	Outer membrane vitamin B12 receptor BtuB	sp|P06129|BTUB_ECOLI	1	1.59577677224736	0
241	btuC	Vitamin B12 ABC transporter, permease component BtuC		1	1.3436293436293405	0
242	btuD	Vitamin B12 ABC transporter, ATPase component BtuD		1	1.65822784810127	0
243	btuE	Glutathione peroxidase family protein	sp|P06610|BTUE_ECOLI	1	1.31386861313869	0
244	btuF	Vitamin B12 ABC transporter, B12-binding component BtuF		1	3.73863636363636	0
245	btuR	Cob(I)alamin adenosyltransferase (EC 2.5.1.17)		1	2.73076923076923	0
246	cadA	Lysine decarboxylase, inducible (EC 4.1.1.18)		1	1.6162464985994398	0
247	cadB	Lysine/cadaverine antiporter membrane protein CadB		1	1.68783068783069	0
248	cadC	Transcriptional activator of cad operon		1	1.43840579710145	0
249	caiA	Crotonobetainyl-CoA dehydrogenase (EC 1.3.99.-)		1	1.51147540983607	0
250	caiB	Crotonobetainyl-CoA:carnitine CoA-transferase (EC 2.8.3.-)		1	4.11494252873563	0
251	caiC	Crotonobetaine carnitine-CoA ligase (EC 6.3.2.-)		1	3.1358024691358	0
252	caiD	Carnitine racemase (EC 5.-.-.-) / Carnitinyl-CoA dehydratase (EC 4.2.1.-)		1	4.46153846153846	0
253	caiE	Carnitine operon protein CaiE		1	2.21296296296296	0
254	caiF	Transcriptional activatory protein CaiF		1	1.72727272727273	0
255	caiT	L-carnitine/gamma-butyrobetaine antiporter		1	3.07476635514019	0
256	can	Carbonic anhydrase (EC 4.2.1.1)	sp|P61517|CAN_ECOLI	1	1.82483474976393	0
257	carA	Carbamoyl-phosphate synthase small chain (EC 6.3.5.5)	sp|P0A6F1|CARA_ECOLI	1	2.95035460992908	0
258	carB	Carbamoyl-phosphate synthase large chain (EC 6.3.5.5)	sp|P00968|CARB_ECOLI	1	3.39688715953307	0
259	cbl	Alkanesulfonate utilization operon LysR-family regulator CbI	sp|Q47083|CBL_ECOLI	1	2.00772200772201	0
260	cbpA	DnaJ-class molecular chaperone CbpA		1	1.4843137254902	0
261	cbpM	Chaperone-modulator protein CbpM		1	1.71666666666667	0
262	cbrA	Uncharacterized protein YidS		1	1.40441176470588	0
263	cbrC	FIG00638764: hypothetical protein		1	0.404	0
264	cca	tRNA nucleotidyltransferase (EC 2.7.7.21) (EC 2.7.7.25)		1	1.54633204633205	0
265	cchA	Ethanolamine utilization polyhedral-body-like protein EutM		1	1.76	0
266	cchB	Ethanolamine utilization polyhedral-body-like protein EutN		1	2.52941176470588	1
267	ccmA	ABC transporter involved in cytochrome c biogenesis, ATPase component CcmA		1	1.02564102564103	1
268	ccmB	ABC transporter involved in cytochrome c biogenesis, CcmB subunit		1	1.24324324324324	0
269	ccmC	Cytochrome c-type biogenesis protein CcmC, putative heme lyase for CcmE		1	0.88659793814433	1
270	ccmD	Cytochrome c-type biogenesis protein CcmD, interacts with CcmCE		1	5.0	0
